date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:59:52	4568/4568	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/invoice-8363a601.js	C:/My%20Web%20Sites/synto/website/build/assets/invoice-8363a601.js	(from https://website/invoice-list)
03:59:53	50202/50202	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2023:44:52%20GMT	https://website/build/assets/img/landing/3.png	C:/My%20Web%20Sites/synto/website/build/assets/img/landing/3.png	(from https://website/landing)
03:59:54	339332/339332	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2023:44:52%20GMT	https://website/build/assets/img/landing/banner.png	C:/My%20Web%20Sites/synto/website/build/assets/img/landing/banner.png	(from https://website/landing)
03:59:54	129193/129193	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jul%202023%2023:44:52%20GMT	https://website/build/assets/img/landing/4.png	C:/My%20Web%20Sites/synto/website/build/assets/img/landing/4.png	(from https://website/landing)
03:59:54	6603/6603	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Aug%202023%2022:29:57%20GMT	https://website/team	C:/My%20Web%20Sites/synto/website/team	(from https://website/landing)
03:59:55	16998/16998	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/defaultmenu-27cd3cee.js	C:/My%20Web%20Sites/synto/website/build/assets/defaultmenu-27cd3cee.js	(from https://website/landing)
03:59:55	14018/14018	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/landing-ee6fb8c4.js	C:/My%20Web%20Sites/synto/website/build/assets/landing-ee6fb8c4.js	(from https://website/landing)
03:59:55	363862/363862	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/img/landing/1.jpg	C:/My%20Web%20Sites/synto/website/build/assets/img/landing/1.jpg	(from https://website/landing)
03:59:55	14670/14670	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://website/build/assets/libs/leaflet/leaflet.css	C:/My%20Web%20Sites/synto/website/build/assets/libs/leaflet/leaflet.css	(from https://website/leaflet-maps)
03:59:56	1807/1807	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2016:01:20%20GMT	https://website/build/assets/leaflet-c27b9a0e.js	C:/My%20Web%20Sites/synto/website/build/assets/leaflet-c27b9a0e.js	(from https://website/leaflet-maps)
